Bike_Name,Brand,Type,Engine_CC,Price,Mileage,Year
Pulsar 150,Bajaj,Sports,150,110000,45,2019
Apache RTR 160,TVS,Sports,160,120000,42,2020
Activa 6G,Honda,Scooter,110,85000,50,2021
Royal Enfield Classic 350,Royal Enfield,Cruiser,350,190000,35,2018
Yamaha R15,Yamaha,Sports,155,180000,40,2022
Jupiter,TVS,Scooter,110,78000,48,2019
KTM Duke 200,KTM,Sports,200,210000,38,2021
Hero Splendor,Hero,Commuter,100,75000,60,2017
Honda Shine,Honda,Commuter,125,95000,55,2020
Royal Enfield Meteor 350,Royal Enfield,Cruiser,350,205000,32,2022
Bajaj Dominar 400,Bajaj,Sports,400,230000,30,2021
Yamaha FZ,Yamaha,Sports,150,130000,45,2018
Hero Glamour,Hero,Commuter,125,90000,58,2019
TVS Ntorq,TVS,Scooter,125,92000,47,2022
KTM RC 390,KTM,Sports,390,280000,28,2023
